code;translation_en;translation_fr;translation_es
accepted;Accepted;Confirmé;Aceptado
addNewRegister;Add a new record;Ajouter un nouveau record;Añadir un registro
april;April;Avril;Abril
august;August;Août;Agosto
back;Back;Retour;Volver
cancel;Cancel;Annuler;Cancelar
changePassword;Change my Password;Changer mon mot de passe;Cambiar mi contraseña
changePasswordError;Please check the following errors.;Merci de vérifier les erreurs suivantes.;Por favor revise los siguientes errores
changePasswordMessage;Here you can change your password.;Ici vous pouvez changer votre mot de passe.;A continuacion puede modificar su contraseña.
changePasswordSuccess;Your password has been changed.;Votre mot de passe a été changé.;Su contraseña ha sido cambiada.
classCSS;CSS Class;Classe CSS;Clase CSS
createAccount;Sign up;Créez votre compte;Crear cuenta
december;December;Décembre;Diciembre
delete;Delete;Supprimer;Borrar
deselectAll;Deselect All;Désélectionner tous;Deseleccionar
email;Email;Email;Email
emptyList;The list is empty;La liste est vide;La lista esta vacía
errorConnection;Your email and/or password are not correct. Please try again.;Votre e-mail et / ou mot de passe ne sont pas correctes . Merci de ré-essayez.;Si email y/o contraseña no son correctos. Intente nuevamente.
errorMail;The email address is incorrect.;L'adresse email est incorrecte.;El email es incorrecto.
errorPasswordAlpha;The password must have only alphanumeric characters.;Le mot de passe ne doit comporter que des caractères alphanumériques.;La contraseña debe tener solo caracteres alfanumericos.
errorPasswordSize;The password must have at least 6 characters.;Le mot de passe doit comporter au moins 6 caractères.;La contraseña debe tener como minimo 6 caracteres.
errorsForm;There are errors in the form.;Il y a des erreurs dans le formulaire.;Existen errores en el formulario.
exit;Exit;Sortir;Salir
february;February;Février;Febrero
home;Home;Accueil;Inicio
idExists;The code already exists;Le code existe déjà;El codigo ya existe
insertNew;Insert new;Insérer;Insertar nuevo
january;January;Janvier;Enero
js_loading;Loading...;Chargement en cours...;Cargando...
js_messageDelete;Are you sure about deleting this record? It will also delete the records related to it.;Êtes-vous sur de la suppression de cet enregistrement? Il va également supprimer les enregistrements qui lui sont liés.;Esta seguro de borrar este registro? También se borrarán los registros relacionados al mismo.
js_messageDeleteSimple;Are you sure about deleting this record?;Êtes-vous sur de la suppression de cet enregistrement?;Esta seguro de borrar este registro?
js_notEmpty;This field cannot be empty;Ce champ ne peut être vide;Este campo no puede estar vacío
july;July;Juillet;Julio
june;June;Juin;Junio
activateSelected;Activate selected;Activer la sélection;Activar seleccionados
active;Active;Actif;Activo
categories;Categories;Catégories;Categorias
category;Category;Catégorie;Categoría
code;Code;Code;Código
contact;Contact;Contact;Contacto
date;Date;Date;Fecha
deactivateSelected;Deactivate selected;Désactiver la sélection;Desactivar los seleccionados
deleteSelected;Delete Selected;Supprimer la Sélection;Eiminar los seleccionados
description;Description;Description;Descripcion
email;Email;Email;Email
file;File;Fichier;Archivo
image;Image;Image;Imagen
lang;Language;Langue;Idioma
langs;Languages;Langues;Idiomas
lastName;Last Name;Nom;Apellido
link;Link;Lien;Enlace
links;Links;Liens;Enlaces
linkUrl;Link URL;Lien URL;Enlace URL
menu;Menu;Menu;Menu
message;Message;Message;Mensaje
metaDescription;Meta Description;Description Meta;Descripcion Meta
metaKeywords;Meta Keywords;Mots-clés Meta;Palabra Clave Meta
name;Name;Nom;Nombre
namePerson;Name;Prenom;Nombre
